component,parameter_group,source_type,source_file,confidence,notes
stack,polarization_and_boundary,measured_plus_user_boundary,00_输入参数/全电流段极化标定/full_range_polarization_data.csv; 00_输入参数/边界复核/low_current_bench_boundary_v01.csv,high,10 kW stack measured/calibration data; low-current boundary follows the user/recommended table for 0/38/76/114/152 A
stack,electrochemical_fit,fit_to_measured,00_输入参数/电堆物理模型_v01/stack_no_egr_physics_params.csv,medium,Low-dimensional voltage model with V=E_rev-eta_act-eta_ohm-eta_conc
humidifier,GZS60_geometry_and_dp,supplier_and_extrapolated,00_输入参数/加湿器_GZS数据整理/GZS60车载模型参数_v02.csv; 00_输入参数/辅件标定/gzs60_intercooler_requirement_points_v01.csv,medium,GZS60 manual and series-trend parameters retained; low-flow use remains extrapolated
humidifier,GZS60_low_flow_target_data,missing_target_data,TBD supplier or bench data,low,Need GZS60 dry/wet inlet-outlet T/RH/pressure/drop and flow data at 10 kW low-flow operating range
air_machine,DQ60_MAP_digitization_and_bench_validation,pdf_ppt_axis_digitized_target_device,00_输入参数/空气机_DQ60_MAP数字化/air_machine_DQ60_digitized_dp_map_v01.csv; 00_输入参数/空气机_DQ60_MAP数字化/air_machine_DQ60_digitized_power_map_v01.csv; 00_输入参数/空气机_DQ60_MAP数字化/air_machine_DQ60_pdf_axis_digitized_points_v02.csv,medium,DQ60 is the current 10 kW bench target air machine; MAP comes from PPT/PDF air-medium digitization and should be bench-calibrated for flow pressure rise and power when measured data are available
egr_valve,opening_dp_flow,engineering_default,init_vehicle_10kw_gzs60.m,low,Compressible orifice-style quasi-steady relation; needs EGR valve opening-pressure-flow data
exhaust_valve,opening_dp_flow,engineering_default,init_vehicle_10kw_gzs60.m,low,Compressible orifice-style quasi-steady relation; needs exhaust valve opening-pressure-flow data
back_pressure_valve,pressure_drop,engineering_default,init_vehicle_10kw_gzs60.m,low,First-pass pressure-drop target; needs back-pressure valve curve or controller specification
separator,liquid_removal_and_carryover,engineering_default,init_vehicle_10kw_gzs60.m,low,Flow/liquid-load dependent default efficiency with explicit carryover diagnostics; needs separator test data
intercooler,UA_condensation_dp,engineering_default_checked,init_vehicle_10kw_gzs60.m; 00_输入参数/辅件标定/gzs60_intercooler_requirement_points_v01.csv,low,Available technical requirement workbook contains no filled intercooler numeric rows; current UA/pressure-drop values remain engineering defaults
intercooler,target_heat_exchanger_data,missing_target_data,TBD bench or supplier data,low,Need gas outlet temperature pressure drop coolant flow and coolant inlet/outlet data for UA and condensation calibration
